"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2020";"0000";"19.5";"20.0";"19.5";"";"";"";"";"";"";"982.4";"982.4";"982.1";"0.0";"129.0";"0.0";"";""
"01/07/2020";"0100";"19.5";"19.6";"19.4";"";"";"";"";"";"";"982.4";"982.6";"982.4";"0.0";"119.0";"0.0";"";""
"01/07/2020";"0200";"19.1";"19.5";"18.9";"";"";"";"";"";"";"982.1";"982.4";"982.1";"0.0";"109.0";"0.0";"";""
"01/07/2020";"0300";"19.0";"19.1";"18.9";"";"";"";"";"";"";"981.8";"982.1";"981.8";"0.0";"66.0";"0.0";"";""
"01/07/2020";"0400";"18.6";"19.0";"18.5";"";"";"";"";"";"";"981.3";"981.8";"981.3";"0.0";"96.0";"0.0";"";""
"01/07/2020";"0500";"18.3";"18.8";"18.0";"";"";"";"";"";"";"981.1";"981.3";"981.1";"0.0";"84.0";"0.0";"";""
"01/07/2020";"0600";"17.6";"18.2";"17.4";"";"";"";"";"";"";"980.8";"981.1";"980.7";"0.0";"52.0";"0.0";"";""
"01/07/2020";"0700";"17.0";"17.6";"16.9";"";"";"";"";"";"";"981.0";"981.0";"980.8";"0.0";"6.0";"0.0";"";""
"01/07/2020";"0800";"16.9";"17.3";"16.9";"";"";"";"";"";"";"981.5";"981.5";"981.0";"0.0";"328.0";"0.0";"";""
"01/07/2020";"0900";"16.6";"17.2";"16.6";"";"";"";"";"";"";"981.7";"981.7";"981.5";"0.0";"3.0";"0.0";"3.50";""
"01/07/2020";"1000";"19.7";"19.7";"16.6";"";"";"";"";"";"";"982.1";"982.1";"981.7";"0.0";"3.0";"0.0";"484.80";""
"01/07/2020";"1100";"22.2";"22.8";"19.7";"";"";"";"";"";"";"982.6";"982.6";"982.1";"0.0";"173.0";"0.0";"1496.60";""
"01/07/2020";"1200";"24.0";"24.1";"22.2";"";"";"";"";"";"";"982.7";"982.7";"982.5";"0.0";"160.0";"0.0";"2416.00";""
"01/07/2020";"1300";"25.3";"25.9";"24.0";"";"";"";"";"";"";"982.5";"982.7";"982.5";"0.0";"121.0";"0.0";"3359.00";""
"01/07/2020";"1400";"26.0";"26.2";"24.9";"";"";"";"";"";"";"982.2";"982.5";"982.2";"0.0";"123.0";"0.0";"3603.90";""
"01/07/2020";"1500";"26.7";"27.0";"25.8";"";"";"";"";"";"";"981.2";"982.2";"981.2";"0.0";"169.0";"3.8";"3836.10";""
"01/07/2020";"1600";"26.9";"27.3";"25.7";"";"";"";"";"";"";"980.1";"981.2";"980.1";"0.1";"145.0";"4.5";"3556.40";""
"01/07/2020";"1700";"27.1";"27.6";"26.7";"";"";"";"";"";"";"979.5";"980.1";"979.5";"0.8";"163.0";"5.9";"3400.60";""
"01/07/2020";"1800";"26.9";"27.3";"25.4";"";"";"";"";"";"";"979.2";"979.5";"979.2";"0.0";"185.0";"5.2";"2225.80";""
"01/07/2020";"1900";"26.0";"27.0";"26.0";"";"";"";"";"";"";"979.3";"979.3";"979.1";"0.0";"156.0";"5.8";"1782.20";""
"01/07/2020";"2000";"23.7";"26.1";"23.7";"";"";"";"";"";"";"979.8";"979.8";"979.3";"0.0";"149.0";"3.0";"674.70";""
"01/07/2020";"2100";"21.8";"23.7";"21.6";"";"";"";"";"";"";"980.3";"980.3";"979.8";"0.0";"120.0";"0.0";"9.60";""
